STORE_KEY,STORE_NUMBER,ROW_EFFECTIVE_TIMESTAMP,ROW_EXPIRATION_TIMESTAMP,STORE_NAME,STORE_TYPE_CODE,STORE_TYPE_NAME,OPEN_DATE,CLOSE_DATE,CITY_NAME,STATE_CODE,STATE_NAME,COUNTRY_CODE,COUNTRY_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,ROYALTY_RATE,STORE_STATUS,REGION_ID,REGION_NAME,PRIOR_STORE_NUMBER,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,GLOBAL_REGION_NAME,GLOBAL_REGION_STORE_TYPE_NAME,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE,EDW_CREATE_TIMESTAMP,EDW_MODIFY_TIMESTAMP
1308273,2809,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,SC2809,Fran,Franchise,12/31/1999,12/31/1999,North Myrtle Beach,SC,South Carolina,USA,,Unknown,570,MYRTLE BEACH-FLORENCE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,MYRTLE BEACH-FLORENCE,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308274,2806,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,TX2806,Fran,Franchise,12/31/1999,12/31/1999,Rosenburg,TX,Texas,USA,,Unknown,618,HOUSTON,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,HOUSTON,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308266,2810,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,KY2810,Fran,Franchise,12/31/1999,12/31/1999,Lexington,KY,Kentucky,USA,,Unknown,541,LEXINGTON,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,LEXINGTON,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308267,2815,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,IN2815,Fran,Franchise,12/31/1999,12/31/1999,Elkhart,IN,Indiana,USA,,Unknown,588,SOUTH BEND-ELKHART,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,South Bend-Elkhart,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308268,2813,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,OH2813,Fran,Franchise,12/31/1999,12/31/1999,Youngstown,OH,Ohio,USA,,Eastern,536,YOUNGSTOWN,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,YOUNGSTOWN,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308269,2811,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,AL2811,Fran,Franchise,12/31/1999,12/31/1999,Montgomery,AL,Alabama,USA,,Unknown,698,MONTGOMERY-SELMA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,MONTGOMERY-SELMA,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308270,2814,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,IN2814,Fran,Franchise,12/31/1999,12/31/1999,Jeffersonville,IN,Indiana,USA,,Unknown,529,LOUISVILLE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,LOUISVILLE,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1308271,2812,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z,MN2812,Fran,Franchise,12/31/1999,12/31/1999,St. Paul,MN,Minnesota,USA,,Unknown,613,MINNEAPOLIS-ST. PAUL,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,MINNEAPOLIS-ST. PAUL,,,12/31/1999,,12/31/1999,2024-05-18T02:06:56.918Z,2024-05-18T02:06:56.918Z
1295704,2800,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,TX2800,Fran,Franchise,12/31/1999,12/31/1999,Lavon,TX,Texas,USA,,Unknown,623,DALLAS-FT. WORTH,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,DALLAS-FT. WORTH,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1295705,2802,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,VA2802,Fran,Franchise,12/31/1999,12/31/1999,Culpeper,VA,Virginia,USA,,Unknown,511,"WASHINGTON, DC (HAGRSTWN)",,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,"WASHINGTON, DC (HAGRSTWN)",,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296743,2798,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,UT2798,Fran,Franchise,12/31/1999,12/31/1999,Woods Cross,UT,Utah,USA,,Unknown,770,SALT LAKE CITY,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,SALT LAKE CITY,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296744,2801,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,GA2801,Fran,Franchise,12/31/1999,12/31/1999,Dacula,GA,Georgia,USA,,Unknown,524,ATLANTA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,ATLANTA,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296745,2799,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,TX2799,Fran,Franchise,12/31/1999,12/31/1999,Rowlett,TX,Texas,USA,,Unknown,623,DALLAS-FT. WORTH,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,DALLAS-FT. WORTH,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296740,2797,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,MO2797,Fran,Franchise,12/31/1999,12/31/1999,St. Louis,MO,Missouri,USA,,Unknown,609,ST. LOUIS,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,ST. LOUIS,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296741,2804,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,CA2804,Fran,Franchise,12/31/1999,12/31/1999,Pittsburg,CA,California,USA,,Pacific,807,SAN FRANCISCO-OAK-SAN JOSE,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,SAN FRANCISCO-OAK-SAN JOSE,,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1296742,2803,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z,OR2803,Fran,Franchise,12/31/1999,12/31/1999,Oak Grove,OR,Oregon,USA,,Unknown,820,"PORTLAND, OR",,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,"PORTLAND, OR",,,12/31/1999,,12/31/1999,2024-05-15T02:07:07.036Z,2024-05-15T02:07:07.036Z
1281378,2794,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z,NC2794,Fran,Franchise,12/31/1999,12/31/1999,Southern Pines,NC,North Carolina,USA,,Unknown,560,RALEIGH-DURHAM (FAYETVLLE),,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,RALEIGH-DURHAM (FAYETVLLE),,,12/31/1999,,12/31/1999,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z
1281379,2796,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z,MO2796,Fran,Franchise,12/31/1999,12/31/1999,St. Louis,MO,Missouri,USA,,Unknown,609,ST. LOUIS,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,ST. LOUIS,,,12/31/1999,,12/31/1999,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z
1281377,2795,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z,VA2795,Fran,Franchise,12/31/1999,12/31/1999,Lorton,VA,Virginia,USA,,Unknown,511,"WASHINGTON, DC (HAGRSTWN)",,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,"WASHINGTON, DC (HAGRSTWN)",,,12/31/1999,,12/31/1999,2024-05-11T02:06:58.810Z,2024-05-11T02:06:58.810Z
1245771,7003,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z,NY7003,Corp,Corporate,12/31/1999,12/31/1999,New York,NY,New York,USA,,Eastern,501,NEW YORK,,Future,3,North,,,Signed Lease,Domestic,DomesticCorporate,NEW YORK,,,12/31/1999,,12/31/1999,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z
1246814,925,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z,TX925,Corp,Corporate,12/31/1999,12/31/1999,Forney,TX,Texas,USA,,Unknown,623,DALLAS-FT. WORTH,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticCorporate,DALLAS-FT. WORTH,,,12/31/1999,,12/31/1999,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z
1246815,924,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z,NV924,Corp,Corporate,12/31/1999,12/31/1999,Las Vegas,NV,Nevada,USA,,Unknown,839,LAS VEGAS,,Future,4,West,,,Signed Lease,Domestic,DomesticCorporate,LAS VEGAS,,,12/31/1999,,12/31/1999,2024-05-02T02:07:13.893Z,2024-05-02T02:07:13.893Z
1239130,2790,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,IN2790,Fran,Franchise,12/31/1999,12/31/1999,Chesterton,IN,Indiana,USA,,Unknown,602,CHICAGO,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,CHICAGO,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1239131,2785,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,PA2785,Fran,Franchise,12/31/1999,12/31/1999,New Kensington,PA,Pennsylvania,USA,,Unknown,508,PITTSBURGH,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,PITTSBURGH,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1238072,2784,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,CA2784,Fran,Franchise,12/31/1999,12/31/1999,Paso Robles,CA,California,USA,,Pacific,855,SANTABARBRA-SANMAR-SANLUOB,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,SANTABARBRA-SANMAR-SANLUOB,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1238073,2792,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,UT2792,Fran,Franchise,12/31/1999,12/31/1999,Millcreek,UT,Utah,USA,,Unknown,770,SALT LAKE CITY,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,SALT LAKE CITY,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1239132,2786,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,NY2786,Fran,Franchise,12/31/1999,12/31/1999,New York,NY,New York,USA,,Unknown,501,NEW YORK,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,NEW YORK,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1239133,2788,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,NY2788,Fran,Franchise,12/31/1999,12/31/1999,Rahway,NY,New York,USA,,Unknown,501,NEW YORK,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,NEW YORK,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1239126,2787,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,OH2787,Fran,Franchise,12/31/1999,12/31/1999,Ashland,OH,Ohio,USA,,Unknown,510,CLEVELAND-AKRON (CANTON),,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,CLEVELAND-AKRON (CANTON),,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1239128,2789,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z,KY2789,Fran,Franchise,12/31/1999,12/31/1999,Elizabethtown,KY,Kentucky,USA,,Unknown,529,LOUISVILLE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,LOUISVILLE,,,12/31/1999,,12/31/1999,2024-04-30T02:06:44.345Z,2024-04-30T02:06:44.345Z
1193041,2771,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,TN2771,Fran,Franchise,12/31/1999,12/31/1999,Springfield,TN,Tennessee,USA,,Unknown,659,NASHVILLE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,NASHVILLE,,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1193035,2778,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,GA2778,Fran,Franchise,12/31/1999,12/31/1999,Flowery Branch,GA,Georgia,USA,,Unknown,524,ATLANTA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,ATLANTA,,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1193036,2773,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,OH2773,Fran,Franchise,12/31/1999,12/31/1999,Amelia,OH,Ohio,USA,,Unknown,515,CINCINNATI,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,CINCINNATI,,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1193038,2775,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,AZ2775,Fran,Franchise,12/31/1999,12/31/1999,Phoenix,AZ,Arizona,USA,,Unknown,753,PHOENIX (PRESCOTT),,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,PHOENIX (PRESCOTT),,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1193040,2776,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,NC2776,Fran,Franchise,12/31/1999,12/31/1999,High Point,NC,North Carolina,USA,,Unknown,518,GREENSBORO-H.POINT-W.SALEM,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,GREENSBORO-H.POINT-W.SALEM,,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1191966,2777,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,VA2777,Fran,Franchise,12/31/1999,12/31/1999,Bristow,VA,Virginia,USA,,Unknown,511,"WASHINGTON, DC (HAGRSTWN)",,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,"WASHINGTON, DC (HAGRSTWN)",,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1191967,2780,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,MO2780,Fran,Franchise,12/31/1999,12/31/1999,Manchester,MO,Missouri,USA,,Unknown,609,ST. LOUIS,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,ST. LOUIS,,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1193042,2772,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z,MD2772,Fran,Franchise,12/31/1999,12/31/1999,Frederick,MD,Maryland,USA,,Unknown,511,"WASHINGTON, DC (HAGRSTWN)",,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,"WASHINGTON, DC (HAGRSTWN)",,,12/31/1999,,12/31/1999,2024-04-18T02:06:50.853Z,2024-04-18T02:06:50.853Z
1162312,2764,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,OK2764,Fran,Franchise,12/31/1999,12/31/1999,Durant,OK,Oklahoma,USA,,Central,657,SHERMAN-ADA,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,SHERMAN-ADA,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1162313,2765,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,OK2765,Fran,Franchise,12/31/1999,12/31/1999,Oklahoma City,OK,Oklahoma,USA,,Central,650,OKLAHOMA CITY,,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,OKLAHOMA CITY,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1162314,2767,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,PA2767,Fran,Franchise,12/31/1999,12/31/1999,East Stroudsburg,PA,Pennsylvania,USA,,Unknown,504,PHILADELPHIA,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,WILKES BARRE-SCRANTON-HZTN,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1162311,2766,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,FL2766,Fran,Franchise,12/31/1999,12/31/1999,Miami,FL,Florida,USA,,Eastern,548,WEST PALM BEACH-FT. PIERCE,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,MIAMI-FT. LAUDERDALE,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1161233,2768,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,MN2768,Fran,Franchise,12/31/1999,12/31/1999,Brooklyn Park,MN,Minnesota,USA,,Unknown,613,MINNEAPOLIS-ST. PAUL,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,MINNEAPOLIS-ST. PAUL,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1162309,2770,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z,TN2770,Fran,Franchise,12/31/1999,12/31/1999,Hixson,TN,Tennessee,USA,,Unknown,575,CHATTANOOGA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,CHATTANOOGA,,,12/31/1999,,12/31/1999,2024-04-10T02:06:53.683Z,2024-04-10T02:06:53.683Z
1131584,2758,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z,OH2758,Fran,Franchise,12/31/1999,12/31/1999,Cincinnati,OH,Ohio,USA,,Unknown,515,CINCINNATI,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,CINCINNATI,,,12/31/1999,,12/31/1999,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z
1131585,2757,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z,GA2757,Fran,Franchise,12/31/1999,12/31/1999,Locust Grove,GA,Georgia,USA,,Unknown,524,ATLANTA,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,ATLANTA,,,12/31/1999,,12/31/1999,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z
1131583,2759,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z,AZ2759,Fran,Franchise,12/31/1999,12/31/1999,Tempe,AZ,Arizona,USA,,Unknown,753,PHOENIX (PRESCOTT),,Future,1,Southwest,,,Signed Lease,Domestic,DomesticFranchise,PHOENIX (PRESCOTT),,,12/31/1999,,12/31/1999,2024-04-02T02:06:50.554Z,2024-04-02T02:06:50.554Z
1108541,2751,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z,CA2751,Fran,Franchise,12/31/1999,12/31/1999,Coachella,CA,California,USA,,Pacific,804,PALM SPRINGS,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,PALM SPRINGS,,,12/31/1999,,12/31/1999,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z
1108536,2755,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z,FL2755,Fran,Franchise,12/31/1999,12/31/1999,Orlando,FL,Florida,USA,,Unknown,534,ORLANDO-DAYTONA BCH-MELBRN,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,ORLANDO-DAYTONA BCH-MELBRN,,,12/31/1999,,12/31/1999,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z
1108537,2750,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z,FL2750,Fran,Franchise,12/31/1999,12/31/1999,Naples,FL,Florida,USA,,Eastern,571,FT. MYERS-NAPLES,,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,FT. MYERS-NAPLES,,,12/31/1999,,12/31/1999,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z
1108539,2754,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z,MI2754,Fran,Franchise,12/31/1999,12/31/1999,Grand Blanc,MI,Michigan,USA,,Unknown,513,FLINT-SAGINAW-BAY CITY,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,FLINT-SAGINAW-BAY CITY,,,12/31/1999,,12/31/1999,2024-03-27T02:07:00.461Z,2024-03-27T02:07:00.461Z
1092075,2743,2024-03-23T02:06:59.403Z,2024-03-23T02:06:59.403Z,OH2743,Fran,Franchise,12/31/1999,12/31/1999,Cincinnati,OH,Ohio,USA,,Unknown,515,CINCINNATI,,Future,3,North,,,Signed Lease,Domestic,DomesticFranchise,CINCINNATI,,,12/31/1999,,12/31/1999,2024-03-23T02:06:59.403Z,2024-03-23T02:06:59.403Z
1034459,2741,2024-03-08T02:07:13.910Z,2024-03-08T02:07:13.910Z,NC2741,Fran,Franchise,12/31/1999,12/31/1999,Sanford,NC,North Carolina,USA,,Unknown,560,RALEIGH-DURHAM (FAYETVLLE),,Future,2,Southeast,,,Signed Lease,Domestic,DomesticFranchise,RALEIGH-DURHAM (FAYETVLLE),,,12/31/1999,,12/31/1999,2024-03-08T02:07:13.910Z,2024-03-08T02:07:13.910Z
1035566,2736,2024-03-08T02:07:13.910Z,2024-03-08T02:07:13.910Z,UT2736,Fran,Franchise,12/31/1999,12/31/1999,West Valley City,UT,Utah,USA,,Unknown,770,SALT LAKE CITY,,Future,4,West,,,Signed Lease,Domestic,DomesticFranchise,SALT LAKE CITY,,,12/31/1999,,12/31/1999,2024-03-08T02:07:13.910Z,2024-03-08T02:07:13.910Z
