STORE_NUMBER,OPEN_DATE,MONTH_ORDER,START_DATE,END_DATE,TRANSACTION_FINAL_COUNT,NET_SALES_FINAL_USD_AMOUNT
52,06-04-2002,9,15-07-2021,12-10-2021,17126,375537.67000000004
52,06-04-2002,8,13-10-2021,10-01-2022,17337,383566.21000000014
52,06-04-2002,7,11-01-2022,10-04-2022,16298,361724.48000000004
52,06-04-2002,6,11-04-2022,09-07-2022,16087,352004.39000000013
52,06-04-2002,5,10-07-2022,07-10-2022,17945,371890.29000000015
52,06-04-2002,4,08-10-2022,05-01-2023,18944,390215.49000000005
52,06-04-2002,3,06-01-2023,05-04-2023,18919,436203.32
52,06-04-2002,2,06-04-2023,04-07-2023,18061,411228.40999999986
52,06-04-2002,1,05-07-2023,02-10-2023,17923,417581.05
52,06-04-2002,0,03-10-2023,31-12-2023,17900,417199.8399999999
61,29-06-2002,18,27-04-2019,25-07-2019,23133,450229.26999999996
61,29-06-2002,17,26-07-2019,23-10-2019,23510,457679.9599999999
61,29-06-2002,16,24-10-2019,21-01-2020,21567,431599.2799999998
61,29-06-2002,15,22-01-2020,20-04-2020,23027,482065.22999999986
61,29-06-2002,14,21-04-2020,19-07-2020,24736,555513.8
61,29-06-2002,13,20-07-2020,17-10-2020,24449,532348.48
61,29-06-2002,12,18-10-2020,15-01-2021,23704,522621.89
61,29-06-2002,11,16-01-2021,15-04-2021,24682,559506.6500000003
61,29-06-2002,10,16-04-2021,14-07-2021,25154,564051.4799999999
61,29-06-2002,9,15-07-2021,12-10-2021,21825,487724.6599999999
61,29-06-2002,8,13-10-2021,10-01-2022,20720,478268.8000000002
61,29-06-2002,7,11-01-2022,10-04-2022,19315,446435.9799999999
61,29-06-2002,6,11-04-2022,09-07-2022,22750,509507.9300000001
61,29-06-2002,5,10-07-2022,07-10-2022,25585,562076.6499999999
61,29-06-2002,4,08-10-2022,05-01-2023,26097,578746.42
61,29-06-2002,3,06-01-2023,05-04-2023,26927,608612.92
61,29-06-2002,2,06-04-2023,04-07-2023,28350,644910.8799999997
61,29-06-2002,1,05-07-2023,02-10-2023,28743,637510.4100000003
61,29-06-2002,0,03-10-2023,31-12-2023,29877,665190.2
62,18-07-2002,18,27-04-2019,25-07-2019,33619,797542.7499999999
62,18-07-2002,17,26-07-2019,23-10-2019,33839,809482.73
62,18-07-2002,16,24-10-2019,21-01-2020,31845,779021.16
62,18-07-2002,15,22-01-2020,20-04-2020,30951,802576.8700000002
62,18-07-2002,14,21-04-2020,19-07-2020,27537,760427.0399999999
62,18-07-2002,13,20-07-2020,17-10-2020,24620,655205.6500000003
62,18-07-2002,12,18-10-2020,15-01-2021,23234,627557.2700000003
62,18-07-2002,11,16-01-2021,15-04-2021,25335,684920.0500000003
62,18-07-2002,10,16-04-2021,14-07-2021,28278,753132.3000000002
62,18-07-2002,9,15-07-2021,12-10-2021,31296,807504.2300000001
62,18-07-2002,8,13-10-2021,10-01-2022,29012,786688.9699999996
62,18-07-2002,7,11-01-2022,10-04-2022,29153,816309.5399999997
62,18-07-2002,6,11-04-2022,09-07-2022,30052,819653.0499999998
62,18-07-2002,5,10-07-2022,07-10-2022,31193,861076.9900000001
62,18-07-2002,4,08-10-2022,05-01-2023,30811,850184.19
62,18-07-2002,3,06-01-2023,05-04-2023,31980,891709.3599999999
62,18-07-2002,2,06-04-2023,04-07-2023,32543,916895.0800000003
62,18-07-2002,1,05-07-2023,02-10-2023,33364,942987.7199999999
62,18-07-2002,0,03-10-2023,31-12-2023,32206,915150.0000000001
64,25-07-2002,18,27-04-2019,25-07-2019,18798,332944.3900000001
64,25-07-2002,17,26-07-2019,23-10-2019,19300,342755.97000000003
64,25-07-2002,16,24-10-2019,21-01-2020,20279,374957.82000000007
64,25-07-2002,15,22-01-2020,20-04-2020,23123,458222.28
64,25-07-2002,14,21-04-2020,19-07-2020,24210,492452.18
64,25-07-2002,13,20-07-2020,17-10-2020,21038,413229.01
64,25-07-2002,12,18-10-2020,15-01-2021,20989,413901.65999999986
64,25-07-2002,11,16-01-2021,15-04-2021,21799,450752.85999999987
64,25-07-2002,10,16-04-2021,14-07-2021,23445,475825.13000000006
64,25-07-2002,9,15-07-2021,12-10-2021,22803,467001.3100000001
64,25-07-2002,8,13-10-2021,10-01-2022,22053,470814.2700000002
64,25-07-2002,7,11-01-2022,10-04-2022,22201,487762.69000000006
64,25-07-2002,6,11-04-2022,09-07-2022,22038,480774.0500000002
64,25-07-2002,5,10-07-2022,07-10-2022,25534,538657.0399999997
64,25-07-2002,4,08-10-2022,05-01-2023,24387,520706.0800000001
64,25-07-2002,3,06-01-2023,05-04-2023,23772,524148.73999999993
64,25-07-2002,2,06-04-2023,04-07-2023,20182,438835.20999999985
64,25-07-2002,1,05-07-2023,02-10-2023,23875,517688.9599999998
64,25-07-2002,0,03-10-2023,31-12-2023,25982,559162.2999999999
72,30-08-2002,18,27-04-2019,25-07-2019,16995,360668.0
72,30-08-2002,17,26-07-2019,23-10-2019,17521,379603.7200000001
72,30-08-2002,16,24-10-2019,21-01-2020,16600,363669.50999999983
72,30-08-2002,15,22-01-2020,20-04-2020,17859,420113.31999999983
72,30-08-2002,14,21-04-2020,19-07-2020,18961,479144.5300000001
72,30-08-2002,13,20-07-2020,17-10-2020,17447,431357.4499999998
72,30-08-2002,12,18-10-2020,15-01-2021,16680,416136.31
72,30-08-2002,11,16-01-2021,15-04-2021,16607,422135.58999999997
72,30-08-2002,10,16-04-2021,14-07-2021,17539,442908.1399999998
72,30-08-2002,9,15-07-2021,12-10-2021,18119,459494.7899999998
72,30-08-2002,8,13-10-2021,10-01-2022,18341,480123.81
72,30-08-2002,7,11-01-2022,10-04-2022,17472,464474.0299999999
72,30-08-2002,6,11-04-2022,09-07-2022,18171,468156.28999999986
72,30-08-2002,5,10-07-2022,07-10-2022,22656,578244.45
72,30-08-2002,4,08-10-2022,05-01-2023,20889,530567.8999999999
72,30-08-2002,3,06-01-2023,05-04-2023,20639,536354.2599999999
72,30-08-2002,2,06-04-2023,04-07-2023,17314,433218.15000000014
72,30-08-2002,1,05-07-2023,02-10-2023,17915,450443.58999999997
72,30-08-2002,0,03-10-2023,31-12-2023,18929,467406.70999999996
78,25-10-2002,18,27-04-2019,25-07-2019,20257,456482.23
78,25-10-2002,17,26-07-2019,23-10-2019,20254,456775.4
78,25-10-2002,16,24-10-2019,21-01-2020,19203,456873.70000000024
78,25-10-2002,15,22-01-2020,20-04-2020,23636,614208.8400000001
78,25-10-2002,14,21-04-2020,19-07-2020,25308,685034.7499999998
78,25-10-2002,13,20-07-2020,17-10-2020,24480,634857.0900000001
78,25-10-2002,12,18-10-2020,15-01-2021,22964,631308.7100000001
78,25-10-2002,11,16-01-2021,15-04-2021,23938,651479.7599999999
78,25-10-2002,10,16-04-2021,14-07-2021,24039,650644.7800000003
78,25-10-2002,9,15-07-2021,12-10-2021,23114,616622.2799999999
78,25-10-2002,8,13-10-2021,10-01-2022,19606,549850.09
78,25-10-2002,7,11-01-2022,10-04-2022,19277,538462.5500000002
78,25-10-2002,6,11-04-2022,09-07-2022,18919,516123.11999999976
78,25-10-2002,5,10-07-2022,07-10-2022,21760,587335.5800000002
78,25-10-2002,4,08-10-2022,05-01-2023,21408,551640.8100000002
78,25-10-2002,3,06-01-2023,05-04-2023,21839,601942.4299999998
78,25-10-2002,2,06-04-2023,04-07-2023,21957,604601.0700000001
78,25-10-2002,1,05-07-2023,02-10-2023,23512,641057.3099999998
78,25-10-2002,0,03-10-2023,31-12-2023,21615,598576.9400000001
94,29-01-2003,18,27-04-2019,25-07-2019,21499,461045.2699999999
94,29-01-2003,17,26-07-2019,23-10-2019,22211,478751.87999999995
94,29-01-2003,16,24-10-2019,21-01-2020,20401,456741.47
94,29-01-2003,15,22-01-2020,20-04-2020,21370,520581.7299999999
94,29-01-2003,14,21-04-2020,19-07-2020,23013,598046.2600000001
94,29-01-2003,13,20-07-2020,17-10-2020,21646,547858.0
94,29-01-2003,12,18-10-2020,15-01-2021,20013,528751.3200000003
94,29-01-2003,11,16-01-2021,15-04-2021,20972,560188.14
94,29-01-2003,10,16-04-2021,14-07-2021,22303,581789.7400000002
94,29-01-2003,9,15-07-2021,12-10-2021,21871,583861.5800000003
94,29-01-2003,8,13-10-2021,10-01-2022,20742,590824.5199999999
94,29-01-2003,7,11-01-2022,10-04-2022,19152,544320.6700000002
94,29-01-2003,6,11-04-2022,09-07-2022,16147,435356.79
94,29-01-2003,5,10-07-2022,07-10-2022,17917,481904.12
94,29-01-2003,4,08-10-2022,05-01-2023,17415,463024.6
94,29-01-2003,3,06-01-2023,05-04-2023,18430,511168.74999999994
94,29-01-2003,2,06-04-2023,04-07-2023,20125,548046.34
94,29-01-2003,1,05-07-2023,02-10-2023,21611,578675.5300000001
94,29-01-2003,0,03-10-2023,31-12-2023,21327,583619.88
101,12-03-2003,18,27-04-2019,25-07-2019,12766,202844.40000000005
101,12-03-2003,17,26-07-2019,23-10-2019,14374,224887.36000000002
101,12-03-2003,16,24-10-2019,21-01-2020,14819,238058.56
101,12-03-2003,15,22-01-2020,20-04-2020,17412,314111.1600000001
101,12-03-2003,14,21-04-2020,19-07-2020,17761,356592.64999999985
101,12-03-2003,13,20-07-2020,17-10-2020,17558,325925.01999999996
101,12-03-2003,12,18-10-2020,15-01-2021,17021,318088.72000000003
101,12-03-2003,11,16-01-2021,15-04-2021,18479,354304.0800000001
101,12-03-2003,10,16-04-2021,14-07-2021,17605,336687.0
101,12-03-2003,9,15-07-2021,12-10-2021,16484,317596.29000000004
101,12-03-2003,8,13-10-2021,10-01-2022,17245,346620.85
101,12-03-2003,7,11-01-2022,10-04-2022,17181,349463.9199999999
101,12-03-2003,6,11-04-2022,09-07-2022,18782,367665.22999999975
101,12-03-2003,5,10-07-2022,07-10-2022,21512,417399.81000000006
101,12-03-2003,4,08-10-2022,05-01-2023,21502,416977.23999999993
101,12-03-2003,3,06-01-2023,05-04-2023,23130,457040.78000000014
101,12-03-2003,2,06-04-2023,04-07-2023,21000,420114.41000000003
101,12-03-2003,1,05-07-2023,02-10-2023,23601,459784.55999999976
101,12-03-2003,0,03-10-2023,31-12-2023,24293,480738.2800000002
107,06-06-2003,18,27-04-2019,25-07-2019,21805,337184.05999999994
107,06-06-2003,17,26-07-2019,23-10-2019,23448,358934.67000000004
107,06-06-2003,16,24-10-2019,21-01-2020,22869,364404.0099999999
107,06-06-2003,15,22-01-2020,20-04-2020,23647,400861.9500000002
107,06-06-2003,14,21-04-2020,19-07-2020,25986,497169.39000000025
107,06-06-2003,13,20-07-2020,17-10-2020,22343,404404.62999999995
107,06-06-2003,12,18-10-2020,15-01-2021,20280,369230.3199999998
107,06-06-2003,11,16-01-2021,15-04-2021,21726,405389.27999999997
107,06-06-2003,10,16-04-2021,14-07-2021,21531,388504.4900000001
107,06-06-2003,9,15-07-2021,12-10-2021,20852,372735.5500000001
107,06-06-2003,8,13-10-2021,10-01-2022,23365,428148.16000000015
107,06-06-2003,7,11-01-2022,10-04-2022,24701,468011.26999999996
107,06-06-2003,6,11-04-2022,09-07-2022,24884,461827.5999999999
107,06-06-2003,5,10-07-2022,07-10-2022,27207,495544.17000000004
107,06-06-2003,4,08-10-2022,05-01-2023,24847,454125.34
107,06-06-2003,3,06-01-2023,05-04-2023,28856,546615.3800000001
107,06-06-2003,2,06-04-2023,04-07-2023,26550,511101.79
107,06-06-2003,1,05-07-2023,02-10-2023,30619,574027.26
107,06-06-2003,0,03-10-2023,31-12-2023,31110,582464.4799999999
109,16-06-2003,18,27-04-2019,25-07-2019,14060,231082.74000000005
109,16-06-2003,17,26-07-2019,23-10-2019,13811,229938.05000000013
109,16-06-2003,16,24-10-2019,21-01-2020,13969,238377.3800000001
109,16-06-2003,15,22-01-2020,20-04-2020,14625,266684.04000000004
109,16-06-2003,14,21-04-2020,19-07-2020,16820,334922.41000000003
109,16-06-2003,13,20-07-2020,17-10-2020,16570,321349.6000000001
109,16-06-2003,12,18-10-2020,15-01-2021,14759,284868.57999999996
109,16-06-2003,11,16-01-2021,15-04-2021,14708,288421.38999999996
109,16-06-2003,10,16-04-2021,14-07-2021,16562,321618.8299999999
109,16-06-2003,9,15-07-2021,12-10-2021,17401,337071.3099999999
109,16-06-2003,8,13-10-2021,10-01-2022,20670,410492.95
109,16-06-2003,7,11-01-2022,10-04-2022,20482,424423.80999999994
109,16-06-2003,6,11-04-2022,09-07-2022,21334,431872.79000000015
109,16-06-2003,5,10-07-2022,07-10-2022,20983,425674.68000000005
109,16-06-2003,4,08-10-2022,05-01-2023,18439,365168.7899999999
109,16-06-2003,3,06-01-2023,05-04-2023,20480,409783.28
109,16-06-2003,2,06-04-2023,04-07-2023,17755,358427.7199999999
109,16-06-2003,1,05-07-2023,02-10-2023,19166,380921.64
109,16-06-2003,0,03-10-2023,31-12-2023,18857,371388.98
123,17-09-2003,18,27-04-2019,25-07-2019,12630,225550.15000000002
123,17-09-2003,17,26-07-2019,23-10-2019,13605,242077.94
123,17-09-2003,16,24-10-2019,21-01-2020,13165,238733.51999999993
123,17-09-2003,15,22-01-2020,20-04-2020,14318,281198.5999999999
123,17-09-2003,14,21-04-2020,19-07-2020,14270,315859.74000000005
123,17-09-2003,13,20-07-2020,17-10-2020,14025,294682.54000000004
123,17-09-2003,12,18-10-2020,15-01-2021,14092,295741.12999999995
123,17-09-2003,11,16-01-2021,15-04-2021,15053,326354.76000000007
123,17-09-2003,10,16-04-2021,14-07-2021,14612,311389.2299999999
123,17-09-2003,9,15-07-2021,12-10-2021,14539,306784.1599999999
123,17-09-2003,8,13-10-2021,10-01-2022,15327,331836.53999999986
123,17-09-2003,7,11-01-2022,10-04-2022,15523,347484.62000000005
123,17-09-2003,6,11-04-2022,09-07-2022,15189,337820.94000000006
123,17-09-2003,5,10-07-2022,07-10-2022,17348,376872.5900000002
123,17-09-2003,4,08-10-2022,05-01-2023,17536,372523.19999999995
123,17-09-2003,3,06-01-2023,05-04-2023,18539,411006.8300000001
123,17-09-2003,2,06-04-2023,04-07-2023,17644,391023.77000000014
123,17-09-2003,1,05-07-2023,02-10-2023,19889,437806.06
123,17-09-2003,0,03-10-2023,31-12-2023,20245,447296.73999999993
127,05-10-2003,18,27-04-2019,25-07-2019,9109,149564.31999999992
127,05-10-2003,17,26-07-2019,23-10-2019,10032,159095.26000000004
127,05-10-2003,16,24-10-2019,21-01-2020,11086,188918.67000000007
127,05-10-2003,15,22-01-2020,20-04-2020,10491,183043.50000000012
127,05-10-2003,14,21-04-2020,19-07-2020,14427,265638.23000000016
127,05-10-2003,13,20-07-2020,17-10-2020,12551,227953.27000000002
127,05-10-2003,12,18-10-2020,15-01-2021,9535,178940.07000000004
127,05-10-2003,11,16-01-2021,15-04-2021,8506,161314.54
127,05-10-2003,10,16-04-2021,14-07-2021,4613,87529.51000000001
127,05-10-2003,9,15-07-2021,12-10-2021,4000,76048.79000000001
127,05-10-2003,8,13-10-2021,10-01-2022,1813,34526.119999999995
127,05-10-2003,7,11-01-2022,10-04-2022,1603,32133.6
127,05-10-2003,6,11-04-2022,09-07-2022,2091,36809.969999999994
127,05-10-2003,5,10-07-2022,07-10-2022,12007,239725.66000000012
127,05-10-2003,4,08-10-2022,05-01-2023,13169,287299.31999999995
127,05-10-2003,3,06-01-2023,05-04-2023,15230,347438.3900000001
127,05-10-2003,2,06-04-2023,04-07-2023,16558,379628.28999999986
127,05-10-2003,1,05-07-2023,02-10-2023,16618,382402.85000000027
127,05-10-2003,0,03-10-2023,31-12-2023,17266,394930.8000000001
133,27-10-2003,18,27-04-2019,25-07-2019,17316,283947.8899999999
133,27-10-2003,17,26-07-2019,23-10-2019,18677,310788.7700000001
133,27-10-2003,16,24-10-2019,21-01-2020,18844,312086.51999999984
133,27-10-2003,15,22-01-2020,20-04-2020,18955,337595.9200000002
133,27-10-2003,14,21-04-2020,19-07-2020,25529,482141.84000000014
133,27-10-2003,13,20-07-2020,17-10-2020,24414,439430.64000000013
133,27-10-2003,12,18-10-2020,15-01-2021,23858,427941.53000000014
133,27-10-2003,11,16-01-2021,15-04-2021,27095,494052.8300000001
133,27-10-2003,10,16-04-2021,14-07-2021,28146,516673.8400000002
133,27-10-2003,9,15-07-2021,12-10-2021,27717,504671.8300000002
133,27-10-2003,8,13-10-2021,10-01-2022,28082,520609.0499999997
133,27-10-2003,7,11-01-2022,10-04-2022,28756,555054.7300000002
133,27-10-2003,6,11-04-2022,09-07-2022,28306,544808.8500000001
133,27-10-2003,5,10-07-2022,07-10-2022,31772,602370.6300000002
133,27-10-2003,4,08-10-2022,05-01-2023,33541,635677.0200000001
133,27-10-2003,3,06-01-2023,05-04-2023,37396,713293.1
133,27-10-2003,2,06-04-2023,04-07-2023,33973,641847.7099999998
133,27-10-2003,1,05-07-2023,02-10-2023,35174,670489.66
133,27-10-2003,0,03-10-2023,31-12-2023,33647,639121.2299999999
137,26-11-2003,18,27-04-2019,25-07-2019,22712,426388.5599999999
137,26-11-2003,17,26-07-2019,23-10-2019,22191,416954.69999999995
137,26-11-2003,16,24-10-2019,21-01-2020,22215,413400.79
137,26-11-2003,15,22-01-2020,20-04-2020,22766,468203.0299999998
137,26-11-2003,14,21-04-2020,19-07-2020,21854,500466.3
137,26-11-2003,13,20-07-2020,17-10-2020,24082,535225.4600000001
137,26-11-2003,12,18-10-2020,15-01-2021,20001,452726.99999999994
137,26-11-2003,11,16-01-2021,15-04-2021,20019,466961.00000000006
137,26-11-2003,10,16-04-2021,14-07-2021,19028,433804.1299999996
137,26-11-2003,9,15-07-2021,12-10-2021,16607,378521.56
