MONTH_ORDER,START_DATE,END_DATE,TRANSACTION_FINAL_COUNT,NET_SALES_FINAL_USD_AMOUNT
24,10-07-2023,16-07-2023,628602,14394329.72879999
23,17-07-2023,23-07-2023,637744,14442657.106400039
22,24-07-2023,30-07-2023,669145,15061680.053399963
21,31-07-2023,06-08-2023,652979,14855913.95940001
20,07-08-2023,13-08-2023,643733,14600772.630600045
19,14-08-2023,20-08-2023,639995,14444613.936699973
18,21-08-2023,27-08-2023,639433,14440853.555900011
17,28-08-2023,03-09-2023,675693,15312994.644800017
16,04-09-2023,10-09-2023,706469,16276855.603200037
15,11-09-2023,17-09-2023,681314,15219891.937699996
14,18-09-2023,24-09-2023,696854,15618069.018200004
13,25-09-2023,01-10-2023,712471,16280567.785699965
12,02-10-2023,08-10-2023,696096,15610839.378899988
11,09-10-2023,15-10-2023,699179,15556925.948699981
10,16-10-2023,22-10-2023,702257,15648391.549900036
9,23-10-2023,29-10-2023,708134,15847428.234200016
8,30-10-2023,05-11-2023,722400,16282108.855599973
7,06-11-2023,12-11-2023,741124,16333223.824500011
6,13-11-2023,19-11-2023,723583,16269291.185999973
5,20-11-2023,26-11-2023,618502,14266028.324800026
4,27-11-2023,03-12-2023,761469,17134612.413099997
3,04-12-2023,10-12-2023,773747,17385956.630100004
2,11-12-2023,17-12-2023,775601,17568294.025500014
1,18-12-2023,24-12-2023,710933,16230858.061799984
0,25-12-2023,31-12-2023,695884,16553464.147500012
